raw_name,normalized_for_embedding,count
USES_TO_CONTROL_PESTS,uses to control pests,1
USES_TO_PREVENT,uses to prevent,1
VALUED_AT,valued at,1
IS_VARIETY_OF,variety,10
VEGETABLE_REQUIRES_WATERING,vegetable requires watering,1
WAGES_OF,wages,1
WARMED_UP_WITH,warmed up with,1
WATERED_AFTER_TRANSPLANTING,watered after transplanting,1
WATERED_AT,watered at,1
WATERED_BY,watered by,3
WATERED_DURING,watered during,1
WATERED_IN,watered in,1
WATERED_WITH,watered with,3
WATERING_CAN_USED_FOR_COPIOUS_WATERINGS,watering can used for copious waterings,1
WATERING_METHOD_USED,watering method used,1
WATERING_SCHEDULE,watering schedule,1
WATERS_AND_FERTILIZES,waters and fertilizes,1
WEATHER_CLIMATE_RELATIONSHIP,weather climate relationship,1
WEATHER_IMPACT,weather impact,1
WEATHER_IMPACTS_ON_CROPS,weather impacts on crops,1
WHITE_COLOR_PRESERVED,white color preserved,1
WINTER_CHERVIL_SOWN_IN,winter chervil sown in,1
WORKED_ON,worked on,1
WORKED_WITH,worked with,1
WORKS_AT,works at,2
WORKS_WITH,works with,1
YIELD_RELATIONSHIPS,yield relationships,1
