normalized,total_count,examples
aimed at producing manual for,1,AIMED_AT_PRODUCING_MANUAL_FOR
alternative,1,ALTERNATIVE_OF
alternative material,1,ALTERNATIVE_MATERIAL
alternative option for space saving rechaud,1,ALTERNATIVE_OPTION_FOR_SPACE_SAVING_RECHAUD
consumed,1,IS_CONSUMED
alternatively preffered for,1,ALTERNATIVELY_PREFFERED_FOR
arranged in,1,ARRANGED_IN
arranged in pattern,1,ARRANGED_IN_PATTERN
arranged under,1,ARRANGED_UNDER
as paraphrased,1,AS_PARAPHRASED
asparagus variey grown in greenhouse,1,ASPARAGUS_VARIEY_GROWN_IN_GREENHOUSE
assembles chest on paths,1,ASSEMBLES_CHEST_ON_PATHS
assists in planting,1,ASSISTS_IN_PLANTING
affected by agricultural practice,1,AFFECTED_BY_AGRICULTURAL_PRACTICE
associated with costs,1,ASSOCIATED_WITH_COSTS
alternative planting in month,1,ALTERNATIVE_PLANTING_IN_MONTH
affected by fire,1,AFFECTED_BY_FIRE
affected by heat,1,AFFECTED_BY_HEAT
affected by northern exposure,1,AFFECTED_BY_NORTHERN_EXPOSURE
affected by pest,1,AFFECTED_BY_PEST
affected by planting method,1,AFFECTED_BY_PLANTING_METHOD
affected by police ban,1,AFFECTED_BY_POLICE_BAN
affected by rot,1,AFFECTED_BY_ROT
used for mulching,1,USED_FOR_MULCHING
uses for transportation,1,USES_FOR_TRANSPORTATION
affected by watering,1,AFFECTED_BY_WATERING
affected by seasonality,1,AFFECTED_BY_SEASONALITY
absorbs heat from,1,ABSORBS_HEAT_FROM
acquired quality,1,ACQUIRED_QUALITY
adjacent to,1,ADJACENT_TO
ados constructed with,1,ADOS_CONSTRUCTED_WITH
ados oriented toward direction,1,ADOS_ORIENTED_TOWARD_DIRECTION
advanced than,1,IS_ADVANCED_THAN
advances in time,1,ADVANCES_IN_TIME
adversely affected by,1,ADVERSELY_AFFECTED_BY
affected by season,1,AFFECTED_BY_SEASON
affected by seasonal condition,1,AFFECTED_BY_SEASONAL_CONDITION
affected by seasonal pattern,1,AFFECTED_BY_SEASONAL_PATTERN
yields in,1,YIELDS_IN
buried with part stem,1,BURIED_WITH_PART_OF_STEM
can produce seeds after cutting,1,CAN_PRODUCE_SEEDS_AFTER_CUTTING
can reach temperature,1,CAN_REACH_TEMPERATURE
canbepruned,1,CANBEPRUNED
cauliflower is adversely affected by,1,CAULIFLOWER_IS_ADVERSELY_AFFECTED_BY
cauliflower was planted in,1,CAULIFLOWER_WAS_PLANTED_IN
cause,1,IS_CAUSE_OF
causesdamage,1,CAUSESDamage
cauterized with,1,CAUTERIZED_WITH
characteristic soil type,1,CHARACTERISTIC_OF_SOIL_TYPE
associated with equipment,1,ASSOCIATED_WITH_EQUIPMENT
checked with,1,CHECKED_WITH
coiffee,1,COIFFEE
compacting layers,1,COMPACTING_LAYERS
companion crop,1,COMPANION_CROP
comparable type characteristic,1,COMPARABLE_TYPE_CHARACTERISTIC
compared to,1,COMPARED_TO
compared to melon in ripening on vine,1,COMPARED_TO_MELON_IN_RIPENING_ON_VINE
competes with regional crop producers,1,COMPETES_WITH_REGIONAL_CROP_PRODUCERS
composed,1,IS_COMPOSED_OF
comprised,1,COMPRISED_OF
constructed on,1,CONSTRUCTED_ON
characterized by,1,IS_CHARACTERIZED_BY
associated with farm practice,1,ASSOCIATED_WITH_FARM_PRACTICE
attached to,1,ATTACHED_TO
awarded by,1,AWARDED_BY
awarded in competition,1,AWARDED_IN_COMPETITION
based on desire for publication,1,BASED_ON_DESIRE_FOR_PUBLICATION
based on program,1,BASED_ON_PROGRAM_OF
bed preparation technique,1,BED_PREPARATION_TECHNIQUE
bell marked at,1,BELL_MARKED_AT
bells placed on compost,1,BELLS_PLACED_ON_COMPOST
belongs to family,1,BELONGS_TO_FAMILY
buried with,1,BURIED_WITH
belongs to same species,1,BELONGS_TO_THE_SAME_SPECIES
benefited from,1,BENEFITED_FROM
black radish does not go to seed in same year,1,BLACK_RADISH_DOES_NOT_GO_TO_SEED_IN_SAME_YEAR
black radish has larger foliage and more pungent flavor,1,BLACK_RADISH_HAS_LARGER_FOLIAGE_AND_MORE_PUNGENT_FLAVOR
black radish requires protection from winter to obtain seed,1,BLACK_RADISH_REQUIRES_PROTECTION_FROM_WINTER_TO_OBTAIN_SEED
black radish should be planted in spring to obtain seed,1,BLACK_RADISH_SHOULD_BE_PLANTED_IN_SPRING_TO_OBTAIN_SEED
blanched in,1,BLANCHED_IN
break up and mix with new manure,1,BREAK_UP_AND_MIX_WITH_NEW_MANURE
break up layer,1,BREAK_UP_LAYER
breakable by,1,IS_BREAKABLE_BY
brings back,1,BRINGS_BACK
belongs to genus,1,BELONGS_TO_GENUS
irrigated with,1,IRRIGATED_WITH
irrigation schedule relationship,1,IRRIGATION_SCHEDULE_RELATIONSHIP
issensitive to,1,ISSENSITIVE_TO
kept at same level as,1,KEPT_AT_SAME_LEVEL_AS
kills target,1,KILLS_TARGET
knits after pruning,1,KNITS_AFTER_PRUNING
known as early produce type,1,WAS_KNOWN_AS_EARLY_PRODUCE_TYPE
lacks inherent quality,1,LACKS_INHERENT_QUALITY_OF
land and relation,1,LAND_AND_RELATION
land shaped into slope,1,LAND_SHAPED_INTO_SLOPE
fertilizes with,1,FERTILIZES_WITH
lasts for duration,1,LASTS_FOR_DURATION_OF
later than sugarloaf cabbage,1,LATER_THAN_SUGARLOAF_CABBAGE
later than york cabbage,1,LATER_THAN_YORK_CABBAGE
layered under,1,LAYERED_UNDER
lettuce maturity duration,1,LETTUCE_MATURITY_DURATION
lettuce planting location,1,LETTUCE_PLANTING_LOCATION
lettuce sowing season,1,LETTUCE_SOWING_SEASON
lives in,1,LIVES_IN
located at,1,LOCATED_AT
located beside,1,LOCATED_BESIDE
lard with substance or equipment,1,LARD_WITH_SUBSTANCE_OR_EQUIPMENT
has variety with desired trait,1,HAS_VARIETY_WITH_DESIRED_TRAIT
has width,1,HAS_WIDTH
has width measurement,1,HAS_WIDTH_MEASUREMENT
hasbeginning,1,HASBEGINNING
have crop variety,1,HAVE_CROP_VARIETY
have similar seed characteristics,1,HAVE_SIMILAR_SEED_CHARACTERISTICS
have variety,1,HAVE_VARIETY
heated,1,IS_HEATED
heated by,1,IS_HEATED_BY
held with,1,HELD_WITH
irrigated,1,IRRIGATED
impacted by climate change,1,IMPACTED_BY_CLIMATE_CHANGE
impacts,1,IMPACTS
imported from,1,IMPORTED_FROM
improved,1,COULD_BE_IMPROVED
included in july,1,INCLUDED_IN_JULY
includes,1,INCLUDES
includes stage,1,INCLUDES_STAGE
inferior to,1,IS_INFERIOR_TO
inflicts damage on,1,INFLICTS_DAMAGE_ON
initiated research,1,INITIATED_RESEARCH
interplanting relationship,1,INTERPLANTING_RELATIONSHIP
hotter than,1,IS_HOTTER_THAN
means to market gardener,1,MEANS_TO_THE_MARKET_GARDENER
measured by area or volume,1,MEASURED_BY_AREA_OR_VOLUME
measured by distance,1,MEASURED_BY_DISTANCE
might be replaced by,1,MIGHT_BE_REPLACED_BY
millstones receive compost,1,MILLSTONES_RECEIVE_COMPOST
mix manure into layer,1,MIX_MANURE_INTO_LAYER
mode transport,1,IS_MODE_OF_TRANSPORT
moistened with,1,MOISTENED_WITH
monitored for growth and condition,1,MONITORED_FOR_GROWTH_AND_CONDITION
more sensitive than,1,MORE_SENSITIVE_THAN
located in northern exposure,1,LOCATED_IN_NORTHERN_EXPOSURE
move back,1,MOVE_BACK
moved from,1,MOVED_FROM
mulch covered with,1,MULCH_COVERED_WITH
mushrooms are grown on,1,MUSHROOMS_ARE_GROWN_ON
needs air and protection from cold,1,NEEDS_AIR_AND_PROTECTION_FROM_COLD
needs care,1,NEEDS_CARE
needs moisture during,1,NEEDS_MOISTURE_DURING
needs root ball,1,NEEDS_ROOT_BALL
needs shade,1,NEEDS_SHADE
needs specific growing conditions,1,NEEDS_SPECIFIC_GROWING_CONDITIONS
needs to be done with,1,NEEDS_TO_BE_DONE_WITH
mounted on,1,MOUNTED_ON
located in paths,1,LOCATED_IN_PATHS
located in relationship,1,LOCATED_IN_RELATIONSHIP
located nearby,1,LOCATED_NEARBY
located nearby to,1,IS_LOCATED_NEARBY_TO
location association,1,LOCATION_ASSOCIATION
looped at,1,LOOPED_AT
lost fires,1,LOST_FIRES
made with,1,MADE_WITH
main stem,1,MAIN_STEM_OF
managed by,1,MANAGED_BY
may retain heat longer,1,MAY_RETAIN_HEAT_LONGER
manure added into,1,MANURE_ADDED_INTO
manure is pressed down with fork during preparation,1,MANURE_IS_PRESSED_DOWN_WITH_FORK_DURING_PREPARATION
manure placed in path between layers,1,MANURE_PLACED_IN_PATH_BETWEEN_LAYERS
manure preparation,1,MANURE_PREPARATION
manure preparation involves removing large pieces litter and hay,1,MANURE_PREPARATION_INVOLVES_REMOVING_LARGE_PIECES_OF_LITTER_AND_HAY
marcotted at,1,MARCOTTED_AT
market gardener workers from province,1,MARKET_GARDENER_WORKERS_FROM_PROVINCE
market gardeners require proof good conduct,1,MARKET_GARDENERS_REQUIRE_PROOF_OF_GOOD_CONDUCT
market gardeners use manure layering,1,MARKET_GARDENERS_USE_MANURE_LAYERING
market gardeners worker class is very peaceful,1,MARKET_GARDENERS_WORKER_CLASS_IS_VERY_PEACEFUL
mat removed during daylight,1,MAT_REMOVED_DURING_DAYLIGHT
mannes cost,1,MANNES_COST
green romaine was sown and planted in,1,GREEN_ROMAINE_WAS_SOWN_AND_PLANTED_IN
grey romaine was sown and planted in,1,GREY_ROMAINE_WAS_SOWN_AND_PLANTED_IN
grown around,1,GROWN_AROUND
grown at,1,GROWN_AT
grown by few market gardeners in city,1,IS_GROWN_BY_FEW_MARKET_GARDENERS_IN_CITY
grown for,1,IS_GROWN_FOR
grown for duration time,1,GROWN_FOR_DURATION_OF_TIME
grown in areas measuring,1,GROWN_IN_AREAS_MEASURING
grown in decmber,1,GROWN_IN_DECMBER
grown in january and february,1,GROWN_IN_JANUARY_AND_FEBRUARY
has statistics,1,HAS_STATISTICS
grown in period,1,GROWN_IN_PERIOD_OF
grown in season,1,GROWN_IN_SEASON
grown together with,1,GROWN_TOGETHER_WITH
grown with,1,GROWN_WITH
grown without,1,GROWN_WITHOUT
growninconditions,1,GROWNINCONDITIONS
grownsuccessfullyin,1,GROWNSUCCESSFULLYIN
grownuntil months,1,GROWNUNTIL_MONTHS_OF
grows before,1,GROWS_BEFORE
grows from,1,GROWS_FROM
grows in paths beds,1,GROWS_IN_PATHS_OF_BEDS
grown in location,1,GROWN_IN_LOCATION
field location,1,FIELD_LOCATION
fill path with,1,FILL_PATH_WITH
flowers in,1,FLOWERS_IN
follow example,1,FOLLOW_EXAMPLE_OF
followed by,1,FOLLOWED_BY
follows growth stage,1,FOLLOWS_GROWTH_STAGE_OF
follows layers,1,FOLLOWS_LAYERS
forced cultivation practiced on parsley,1,FORCED_CULTIVATION_PRACTICED_ON_PARSLEY
forced in,1,SHOULD_BE_FORCED_IN
founded prize,1,FOUNDED_PRIZE
green romaine was adversely affected by,1,GREEN_ROMAINE_WAS_ADVERSELY_AFFECTED_BY
frame put back,1,FRAME_PUT_BACK
frames removed during mild weather,1,FRAMES_REMOVED_DURING_MILD_WEATHER
frost sensitivity,1,FROST_SENSITIVITY
fruit production,1,FRUIT_PRODUCTION
gathered in same season,1,ARE_GATHERED_IN_SAME_SEASON
gathers at,1,GATHERS_AT
germinated in,1,GERMINATED_IN
germinates within days,1,GERMINATES_WITHIN_DAYS
germinative capacity duration,1,GERMINATIVE_CAPACITY_DURATION
given air gradually,1,GIVEN_AIR_GRADUALLY
goes to seed in,1,GOES_TO_SEED_IN
frame,1,FRAME_OF
has cold temperature,1,HAS_COLD_TEMPERATURE
has conditional requirement,1,HAS_CONDITIONAL_REQUIREMENT
has costly investment,1,HAS_COSTLY_INVESTMENT
has duration,1,HAS_DURATION
has duration requirement,1,HAS_DURATION_REQUIREMENT
has equipment type,1,HAS_EQUIPMENT_TYPE
has feature,1,HAS_FEATURE
has fruit,1,HAS_FRUIT
has fruits until june,1,HAS_FRUITS_UNTIL_JUNE
has growth cycle,1,HAS_GROWTH_CYCLE
grows in structures,1,GROWS_IN_STRUCTURES
has length,1,HAS_LENGTH
has more seasons than,1,HAS_MORE_SEASONS_THAN
has parts,1,HAS_PARTS
has planting date,1,HAS_PLANTING_DATE
has propagation method,1,HAS_PROPAGATION_METHOD
has purpose,1,HAS_PURPOSE
has root depth reaching,1,HAS_ROOT_DEPTH_REACHING
has seed type,1,HAS_SEED_TYPE
has specific growth cycle,1,HAS_SPECIFIC_GROWTH_CYCLE
has specific growth stage,1,HAS_SPECIFIC_GROWTH_STAGE
has specific number horses,1,HAS_SPECIFIC_NUMBER_OF_HORSES
has growth stages,1,HAS_GROWTH_STAGES
grows into,1,GROWS_INTO
grows into apple form,1,GROWS_INTO_APPLE_FORM
grows into fruit,1,GROWS_INTO_FRUIT
grows within,1,GROWS_WITHIN
growth stage change,1,GROWTH_STAGE_CHANGE
had competition open,1,HAD_COMPETITION_OPEN
hand planted,1,HAND_PLANTED
hand planted to depth,1,HAND_PLANTED_TO_DEPTH
handle with care during,1,HANDLE_WITH_CARE_DURING
handled by personnel role,1,HANDLED_BY_PERSONNEL_ROLE
has branches,1,HAS_BRANCHES
harvest date,1,HARVEST_DATE
harvested by,1,HARVESTED_BY
harvested from field location,1,HARVESTED_FROM_FIELD_LOCATION
harvested from spring onward,1,HARVESTED_FROM_SPRING_ONWARD
harvested in month,1,HARVESTED_IN_MONTH
harvested in months,1,HARVESTED_IN_MONTHS_OF
harvested on,1,HARVESTED_ON
harvested on date,1,HARVESTED_ON_DATE
harvested until,1,HARVESTED_UNTIL
harvests every,1,HARVESTS_EVERY
has better quality than york cabbage,1,HAS_BETTER_QUALITY_THAN_YORK_CABBAGE
hang in cellar upside down from,1,HANG_IN_CELLAR_UPSIDE_DOWN_FROM
