raw_name,normalized_for_embedding,normalized_for_analysis,count
HAS_TRACING_ROOTS,has tracing roots,has tracing roots,1
HAS_VALUE_BETWEEN,has value between,has value between,2
HAS_VARIETIES,has varieties,has varieties,1
HAS_VARIETY,has variety,has variety,6
HAS_WIDER_LEAVES_THAN,has wider leaves than,has wider leaves than,1
HAS_WIDTH_AND_DEPTH,has width and depth,has width and depth,1
HAVE_AVERAGE_COST_OF,have average cost,have average cost,2
HAVE_COMMON_PARTS,have common parts,have common parts,2
HAVE_COMPONENT,have component,have component,1
HAVE_EDIBLE_PARTS_IN_COMMON,have edible parts in common,have edible parts in common,1
HAVE_SIMILAR_GROWTH_PATTERNS,have similar growth patterns,have similar growth patterns,1
HAY_REMOVED_DURING_PREPARATION,hay removed during preparation,hay removed during preparation,1
HEATED_UP_IN,heated up in,heated up in,1
HEATS_TO_PRESERVE,heats to preserve,heats to preserve,1
HELPED_BY,helped by,helped by,1
IMPACTED_BY,impacted by,impacted by,1
IMPACTED_BY_ICE_ACCUMULATION,impacted by ice accumulation,impacted by ice accumulation,1
IMPORTED_FROM,imported from,imported from,1
IMPROVED_WITH,improved with,improved with,1
IMPROVES_SOIL_FERTILITY,improves soil fertility,improves soil fertility,1
INCLUDED_IN,included in,included in,1
INCLUDES_IN_LAYERING_PROCESS,includes in layering process,includes in layering process,1
INFECTED_BY,infected by,infected by,1
INFECTED_WITH,infected with,infected with,1
INFECTS,infects,infects,1
INITIATED_RESEARCH,initiated research,initiated research,1
INPUT_USED_FOR_MULCHING,input used for mulching,input used for mulching,1
INTERPLANTED_WITH,interplanted with,interplanted with,4
INTRODUCED_CROP_INTO_MARKET_GARDENING,introduced crop into market gardening,introduced crop into market gardening,3
INTRODUCED_FRAME_INTO_MARKET_GARDENING,introduced frame into market gardening,introduced frame into market gardening,1
INTRODUCED_TO,introduced to,introduced to,1
INVOLVED_IN,involved in,involved in,1
INVOLVES,involves,involves,1
IRRIGATED_WITH,irrigated with,irrigated with,1
IRRIGATION_METHOD,irrigation method,irrigation method,2
IRRIGATION_USED_IN_PRACTICE,irrigation used in practice,irrigation used in practice,1
IS ALSO KNOWN AS,also known as,also known as,1
IS DIVIDED_BY,divided by,divided by,1
IS FITTED_WITH,fitted with,fitted with,1
IS_A,,,1
IS_AFFECTED_BY,affected by,affected by,7
IS_ARRANGED_ALONG_THE_WALLS_OF,arranged along walls,arranged along walls,1
IS_ATTACHED_TO,attached to,attached to,1
IS_AVAILABLE_IN_MONTH,available in month,available in month,1
IS_A_MEMBER_OF,member,member,1
IS_A_NATIVE_OF,native,native,1
IS_A_VARIETY_OF,variety,variety,1
IS_BENEFICIAL_FOR,beneficial for,beneficial for,1
IS_CALLED,called,called,1
IS_CAUSE_OF_DAMAGE,cause damage,cause damage,1
IS_CHARACTERIZED_BY,characterized by,characterized by,1
IS_COLLECTED_INTO,collected into,collected into,1
IS_COMPARED_TO,compared to,compared to,1
IS_COMPOSED_OF,composed,composed,1
IS_COVERED_WITH,covered with,covered with,2
IS_DIFFERENT_FROM,different from,different from,1
IS_DIFFICULT_TO_DETERMINE_FOR,difficult to determine for,difficult to determine for,2
IS_EASIER_TO_WORK_WITH_THAN,easier to work with than,easier to work with than,1
IS_EQUIPPED_WITH,equipped with,equipped with,1
IS_GOOD_FOR,good for,good for,1
IS_GROWN_BY_MARKET_GARDENERS_IN_LOCATION,grown by market gardeners in location,grown by market gardeners in location,3
IS_GROWN_FOR_FORCED_CULTIVATION,grown for forced cultivation,grown for forced cultivation,1
IS_GROWN_IN,grown in,grown in,1
IS_HARVESTED_BY,harvested by,harvested by,1
IS_HARVESTED_IN,harvested in,harvested in,2
IS_IMPACTED_BY,impacted by,impacted by,2
IS_INFERIOR_TO,inferior to,inferior to,1
IS_LESS_ACIDIC_THAN,less acidic than,less acidic than,1
IS_LIMITED_IN_USE_BY,limited in use by,limited in use by,1
IS_LOCATED_IN,located in,located in,3
IS_MORE_APPETIZING_THAN,more appetizing than,more appetizing than,1
IS_NEEDED_FOR,needed for,needed for,1
IS_NEEDED_TO_FERTILIZE,needed to fertilize,needed to fertilize,2
IS_NEEDED_TO_MAKE_FERTILE,needed to make fertile,needed to make fertile,1
IS_NOT_GROWN,not grown,not grown,3
IS_OPENED_AND_CLOSED_AS_REQUIRED,opened and closed as required,opened and closed as required,1
IS_ORIGINATED_FROM,originated from,originated from,1
IS_PART_OF,part,part,5
IS_PART_OF_PRACTICE,part practice,part practice,1
IS_PICKED_FROM,picked from,picked from,1
IS_PRACTICED_BY,practiced by,practiced by,1
IS_PREFERRED_IN,preferred in,preferred in,1
IS_PREPARED_BY,prepared by,prepared by,1
IS_PRONE_TO,prone to,prone to,1
IS_PROTECTED_BY,protected by,protected by,2
IS_PROTECTED_FROM,protected from,protected from,1
IS_READY_FOR_CONSUMPTION_AFTER,ready for consumption after,ready for consumption after,1
IS_READY_FOR_SALE,ready for sale,ready for sale,1
IS_RELATED_TO,related to,related to,2
IS_REMOVED_AFTER_SELECTION,removed after selection,removed after selection,1
IS_REPLACED_BY,replaced by,replaced by,3
IS_SET_UP_IN,set up in,set up in,1
IS_SHAKEN,shaken,shaken,1
IS_SHAPED_INTO_FORMATION,shaped into formation,shaped into formation,1
IS_SOWN_AND_PLANTED_THROUGHOUT,sown and planted throughout,sown and planted throughout,1
IS_SOWN_IN,sown in,sown in,1
IS_SOWN_IN_MONTH,sown in month,sown in month,1
IS_SOWN_IN_MONTH_IF_NEEDED,sown in month if needed,sown in month if needed,2
IS_STORED_IN,stored in,stored in,1
IS_TOPPED_AT_STAGE,topped at stage,topped at stage,2
IS_TYPE_OF,type,type,9
IS_USEFUL_FOR,useful for,useful for,1
IS_VARIETY_OF,variety,variety,10
IS_WIDE_ENOUGH_FOR,wide enough for,wide enough for,1
IS_WORKED_ON_BY_TOOL,worked on by tool,worked on by tool,1
JUNE_ASSOCIATED_EVENT,june associated event,june associated event,1
KEEPED_MOIST_AND_CLEAN_IN,keeped moist and clean in,keeped moist and clean in,1
KEPT_WARM_BY,kept warm by,kept warm by,1
KNOWN_AS,known as,known as,1
LACKS_INHERENT_QUALITY_OF,lacks inherent quality,lacks inherent quality,1
LATER_THAN,later than,later than,1
LATHS_ARE_USED_WITH_PEAS,laths are used with peas,laths are used with peas,1
LATHS_COMBINED_WITH_STRAW_AND_WICKER_TO_CONSTRUCT_WINDBREAKS,laths combined with straw and wicker to construct windbreaks,laths combined with straw and wicker to construct windbreaks,1
LAYERED_WITHIN,layered within,layered within,1
LEAD_PIPE_MADE_OF,lead pipe made,lead pipe made,1
LEAD_PIPE_USED_INSTEAD_OF_STONEWARE_END,lead pipe used instead stoneware end,lead pipe used instead stoneware end,1
LEAVES_ARE_USED_FOR,leaves are used for,leaves are used for,1
LEFT_IN,left in,left in,1
LEFT_ON_TEENS_UNTIL,left on teens until,left on teens until,1
LESS_COMMON_THAN,less common than,less common than,1
LESS_SENSITIVE_THAN,less sensitive than,less sensitive than,1
LETTUCE_NEVER_REPLACED,lettuce never replaced,lettuce never replaced,1
LETTUCE_VARIETY_IS_RELATED_TO,lettuce variety is related to,lettuce variety is related to,1
LIFTED,lifted,lifted,1
LOCATED_AT,located at,located at,1
LOCATED_IN,located in,located in,12
LOCATED_IN_EQUIPMENT,located in equipment,located in equipment,1
LOCATED_IN_FIELD_TYPE,located in field type,located in field type,1
LOCATED_IN_REGIONAL_GEOGRAPHY,located in regional geography,located in regional geography,1
LOCATED_NEARBY,located nearby,located nearby,1
LOCATED_ON_BANKS_OF,located on banks,located on banks,1
LOCATION,location,location,1
LOCATION_ASSOCIATION,location association,location association,1
LOCATION_LIMITATIONS_CAUSE_COMPETITION_DIFFICULTIES,location limitations cause competition difficulties,location limitations cause competition difficulties,1
LONG_BEFORE_RIPENING_ON_VINE,long before ripening on vine,long before ripening on vine,1
LOWERED_BY_ON_SOUTH_SIDE,lowered by on south side,lowered by on south side,1
MADE_FROM,made from,made from,3
MADE_FROM_CAST_IRON_ALTERNATIVELY,made from cast iron alternatively,made from cast iron alternatively,1
MADE_FROM_SANDSTONE_ALTERNATIVELY,made from sandstone alternatively,made from sandstone alternatively,1
MADE_OF,made,made,2
MADE_OF_STONEWARE_ALTERNATIVELY,made stoneware alternatively,made stoneware alternatively,1
MANAGED_BY,managed by,managed by,1
MANNEIVAUX_CONTAIN,manneivaux contain,manneivaux contain,1
MANNES_CONTAIN,mannes contain,mannes contain,6
MANUFACTURED_FROM,manufactured from,manufactured from,1
MANURE_LAYERED_OVER,manure layered over,manure layered over,1
MANURE_PREPARATION,manure preparation,manure preparation,1
MANURE_TYPE_COMPARISON,manure type comparison,manure type comparison,2
MARKED_FOR_SEED_PRODUCTION,marked for seed production,marked for seed production,1
MARKET_GARDENERS_REQUIRE_PROOF_OF_GOOD_CONDUCT,market gardeners require proof good conduct,market gardeners require proof good conduct,1
MARKET_GARDENERS_WORKER_CLASS_IS_VERY_PEACEFUL,market gardeners worker class is very peaceful,market gardeners worker class is very peaceful,1
MARKET_GARDENER_WORKERS_FROM_PROVINCE,market gardener workers from province,market gardener workers from province,1
MATURATES_IN_NOVEMBER,maturates in november,maturates in november,1
MATURATES_ON_OR_BEFORE,maturates on or before,maturates on or before,1
MATURITY_PERIOD,maturity period,maturity period,1
MATURITY_PERIOD_DAYS,maturity period days,maturity period days,1
MAY_BE_EQUIVALENT_TO,equivalent to,equivalent to,1
MEASURED_BY,measured by,measured by,1
MEASURED_BY_LENGTH,measured by length,measured by length,1
MEASURED_IN_HECTARES,measured in hectares,measured in hectares,1
MEASUREMENT_UNIT_OF,measurement unit,measurement unit,1
MENTIONED_ALONGSIDE,mentioned alongside,mentioned alongside,15
MENTIONED_IN_TEXT,mentioned in text,mentioned in text,1
MENTIONED_TOGETHER,mentioned together,mentioned together,1
MIXED_WITH,mixed with,mixed with,4
MIXED_WITH_INPUT_MATERIAL,mixed with input material,mixed with input material,1
MONITORED_USING,monitored using,monitored using,1
MORE_FRAGILE_THAN,more fragile than,more fragile than,1
MORE_SUCCESSFUL_IN_OCTOBER_THAN_SPRING,more successful in october than spring,more successful in october than spring,1
MOVED_FROM,moved from,moved from,1
MOVES_BACK_TO_ACCOMMODATE_NEW_BUILDINGS,moves back to accommodate new buildings,moves back to accommodate new buildings,1
MULCHED_UNDER,mulched under,mulched under,1
NATIVE_TO_LOCATION,native to location,native to location,1
NATURALLY_GROWS_IN,naturally grows in,naturally grows in,1
NEEDS,needs,needs,2
NEEDSIRRIGATION,needsirrigation,needsirrigation,1
NEEDS_CARE_FROM,needs care from,needs care from,1
NEEDS_MORE,needs more,needs more,1
NEEDS_OPERATION,needs operation,needs operation,1
NEEDS_PROTECTION,needs protection,needs protection,1
NEEDS_TO_BE_PREPARED_WITH_SUBSTANCE,needs to be prepared with substance,needs to be prepared with substance,1
NEEDS_TO_BE_REMOVED_FROM_CLOCHES_WHEN_SUN_APPEARS,needs to be removed from cloches when sun appears,needs to be removed from cloches when sun appears,1
NEEDS_TO_MAKE_LAYERS_FOR,needs to make layers for,needs to make layers for,1
NEEDS_WATERING,needs watering,needs watering,1
NEED_ATTENTION,need attention,need attention,2
NEW_CROP_AVAILABLE,new crop available,new crop available,4
NOT COMMONLY_GROWN,not commonly grown,not commonly grown,1
NOT_TRANPLANTED,not tranplanted,not tranplanted,1
NOT_USED_FOR,not used for,not used for,1
NO_LONGER_GROWN_BY,no longer grown by,no longer grown by,1
OCCUPIES_FIELD_FOR,occupies field for,occupies field for,1
OCCURS_AFTER_SPECIFIC_CONDITION,occurs after specific condition,occurs after specific condition,1
OCCURS_AFTER_TEMPORAL_EVENT,occurs after temporal event,occurs after temporal event,1
OLD_DRY_MANURE_IS_USED_WITH_PEAS,old dry manure is used with peas,old dry manure is used with peas,1
OPTIMAL_TIME_FOR,optimal time for,optimal time for,1
OPTIONALLY_ADDED,optionally added,optionally added,1
ORIENTED_TOWARDS_SOUTH,oriented towards south,oriented towards south,1
ORIGINATED_FROM,originated from,originated from,1
ORIGINATED_FROM_LOCATION,originated from location,originated from location,1
ORIGINATED_IN,originated in,originated in,1
ORIGIN_OF_CROP,origin crop,origin crop,1
OTHER_VARIETY_OF,other variety,other variety,2
OVERLAPPED_WITH,overlapped with,overlapped with,1
OVERWINTERS_AT,overwinters at,overwinters at,1
OVERWINTERS_IN,overwinters in,overwinters in,1
OWNS,owns,owns,1
PART_OF,part,part,2
PART_OF_FERTILIZATION_COSTS,part fertilization costs,part fertilization costs,1
PEAS_ARE_TO_BE_TOPPED_AT,peas are to be topped at,peas are to be topped at,1
PEOPLE_RELATIONSHIP_ENCOURAGE_ECONOMY,people relationship encourage economy,people relationship encourage economy,1
PEOPLE_RELATIONSHIP_WORK_ALLOCATION,people relationship work allocation,people relationship work allocation,1
PERSIL_IS_SUBTYPE_OF,persil is subtype,persil is subtype,1
PEST_AFFECTED_BY,pest affected by,pest affected by,5
PEST_AFFECTS_CROP,pest affects crop,pest affects crop,5
PEST_FEAR_HEAT,pest fear heat,pest fear heat,1
PEST_RESISTANT_TO,pest resistant to,pest resistant to,1
PEST_TREATED_WITH,pest treated with,pest treated with,1
PICKED_AND_READY,picked and ready,picked and ready,2
PICKED_AT_SEASON_START,picked at season start,picked at season start,1
PICKED_AT_SIZE,picked at size,picked at size,1
PICKED_BEFORE_RIPENING_ON_VINE,picked before ripening on vine,picked before ripening on vine,1
PINK_RADISH_GROWN_IN_LOCATIONS,pink radish grown in locations,pink radish grown in locations,1
PINK_RADISH_PRODUCTION_FROM,pink radish production from,pink radish production from,1
PLACED_BETWEEN,placed between,placed between,1
PLACED_IN,placed in,placed in,6
PLACED_IN_PLACE_OF,placed in place,placed in place,1
PLACED_NEAR,placed near,placed near,1
PLACED_ON,placed on,placed on,4
PLACED_ON_TOP_OF,placed on top,placed on top,2
PLANTED_AFTER,planted after,planted after,10
PLANTED_AFTER_EMPTYING_LAYER,planted after emptying layer,planted after emptying layer,2
PLANTED_ALONGSIDE,planted alongside,planted alongside,5
PLANTED_AS_BROADCAST_CROP,planted as broadcast crop,planted as broadcast crop,1
PLANTED_AT,planted at,planted at,6
PLANTED_AT_DIFFERENT_TIMES,planted at different times,planted at different times,1
PLANTED_AT_DISTANCE_OF,planted at distance,planted at distance,1
PLANTED_AT_THE_SAME_TIME_AS,planted at same time as,planted at same time as,1
PLANTED_BEFORE,planted before,planted before,2
PLANTED_BY,planted by,planted by,2
PLANTED_DURING,planted during,planted during,3
PLANTED_IN,planted in,planted in,100
PLANTED_INDETERMINATELY,planted indeterminately,planted indeterminately,1
PLANTED_IN_AUGUST,planted in august,planted in august,1
PLANTED_IN_BED,planted in bed,planted in bed,1
PLANTED_IN_BEDS,planted in beds,planted in beds,1
PLANTED_IN_BED_WITH_SPACING,planted in bed with spacing,planted in bed with spacing,1
PLANTED_IN_BORDER,planted in border,planted in border,1
PLANTED_IN_COMPOST,planted in compost,planted in compost,1
PLANTED_IN_CONVEX_LAYER_OF,planted in convex layer,planted in convex layer,1
PLANTED_IN_DECEMBER,planted in december,planted in december,1
PLANTED_IN_DEPTH,planted in depth,planted in depth,1
PLANTED_IN_FIRST_FORTNIGHT_OF_MONTH,planted in first fortnight month,planted in first fortnight month,1
PLANTED_IN_FULL_SQUARES,planted in full squares,planted in full squares,2
PLANTED_IN_FURROWS,planted in furrows,planted in furrows,1
PLANTED_IN_GREENHOUSE,planted in greenhouse,planted in greenhouse,1
PLANTED_IN_GROUND_AFTER_DATE,planted in ground after date,planted in ground after date,1
PLANTED_IN_LAYER,planted in layer,planted in layer,1
PLANTED_IN_MID_MARCH,planted in mid march,planted in mid march,1
PLANTED_IN_MONTH,planted in month,planted in month,8
PLANTED_IN_MONTHS,planted in months,planted in months,1
PLANTED_IN_MONTH_AFTER_SPECIFIC_DATE,planted in month after specific date,planted in month after specific date,1
PLANTED_IN_NOVEMBER,planted in november,planted in november,4
PLANTED_IN_PATTERN,planted in pattern,planted in pattern,1
PLANTED_IN_PERIOD,planted in period,planted in period,1
PLANTED_IN_PLACE,planted in place,planted in place,2
PLANTED_IN_POTS,planted in pots,planted in pots,1
PLANTED_IN_ROWS,planted in rows,planted in rows,3
PLANTED_IN_SEASON,planted in season,planted in season,2
PLANTED_IN_SEQUENCE,planted in sequence,planted in sequence,1
PLANTED_IN_SEQUENCE_WITH,planted in sequence with,planted in sequence with,1
PLANTED_IN_SHADE,planted in shade,planted in shade,1
PLANTED_IN_SOIL_TYPE,planted in soil type,planted in soil type,1
PLANTED_IN_SPECIFIC_ENVIRONMENTAL_CONDITIONS,planted in specific environmental conditions,planted in specific environmental conditions,1
PLANTED_IN_SPECIFIC_LOCATION,planted in specific location,planted in specific location,1
PLANTED_IN_SPECIFIC_TIMEFRAME,planted in specific timeframe,planted in specific timeframe,1
PLANTED_IN_STAGES,planted in stages,planted in stages,1
PLANTED_IN_month_after_specific_date,planted in month after specific date,planted in month after specific date,1
PLANTED_NEAR,planted near,planted near,1
PLANTED_ON,planted on,planted on,5
PLANTED_ON_BOARDS,planted on boards,planted on boards,1
PLANTED_ON_DATE,planted on date,planted on date,1
PLANTED_ON_SOIL_TYPE,planted on soil type,planted on soil type,1
PLANTED_UNDER,planted under,planted under,4
PLANTED_UNDER_SPECIFIC_CONDITIONS,planted under specific conditions,planted under specific conditions,3
PLANTED_WITH,planted with,planted with,12
PLANTED_WITHIN_DISTANCE_OF,planted within distance,planted within distance,1
PLANTED_WITH_PRECAUTION,planted with precaution,planted with precaution,1
PLANTING_DATE,planting date,planting date,1
PLANTING_SCHEDULE,planting schedule,planting schedule,2
PLANTING_SCHEDULED_IN_MONTH_OF,planting scheduled in month,planting scheduled in month,3
PLANTING_TIME,planting time,planting time,1
PLANTING_TIME_OF_YEAR,planting time year,planting time year,1
PLANTS_AT_LEAST_Apart,plants at least apart,plants at least apart,1
PLANTS_IN,plants in,plants in,1
PLANTS_IN_LAYERED_FORMAT,plants in layered format,plants in layered format,1
PLANT_GROWTH_STAGE_PRECEDES_PLANT_GROWTH_STAGE,plant growth stage precedes plant growth stage,plant growth stage precedes plant growth stage,1
PLANT_RETRANSPORTED_TO_BOARD,plant retransported to board,plant retransported to board,1
PLOUGHED_WITH,ploughed with,ploughed with,1
POSITIONED_NEARBY,positioned nearby,positioned nearby,1
POTENTIALLY_DAMAGED_BY,potentially damaged by,potentially damaged by,1
POTTING_SOIL_COVERS,potting soil covers,potting soil covers,1
PRACTICED_IN,practiced in,practiced in,2
PRACTICED_SINCE,practiced since,practiced since,1
PRACTICE_INVOLVES_TOOLS,practice involves tools,practice involves tools,1
PRACTICE_PERFORMED_ON,practice performed on,practice performed on,1
PRACTICE_RELATED_TO,practice related to,practice related to,1
PRECEDED_BY_GROWTH_STAGE,preceded by growth stage,preceded by growth stage,1
PRECEDES,precedes,precedes,1
PRECEDES_IN_SEASON,precedes in season,precedes in season,1
PREDOMINANT_TYPE_OF_LETTUCE_IN_REGION,predominant type lettuce in region,predominant type lettuce in region,1
PREFERED_GROWTH_STAGE,prefered growth stage,prefered growth stage,1
PREFERED_PLANTING_CONDITION,prefered planting condition,prefered planting condition,1
PREFERED_SOIL_CONDITION,prefered soil condition,prefered soil condition,1
PREFERRED_CROP_LOCATION,preferred crop location,preferred crop location,1
PREFERRED_FOR,preferred for,preferred for,2
PREFERRED_FOR_GROWTH,preferred for growth,preferred for growth,1
PREFERRED_OVER,preferred over,preferred over,2
PREFERRED_SEASON,preferred season,preferred season,1
PREFERRED_SOIL_CONDITION,preferred soil condition,preferred soil condition,1
PREFERRED_TEMPERATURE,preferred temperature,preferred temperature,1
PREFFERED_FOR,preffered for,preffered for,1
PREPARATION_METHOD,preparation method,preparation method,1
PREPARATION_OF,preparation,preparation,1
PREPARED_FOR_TRANSPLANTING,prepared for transplanting,prepared for transplanting,2
PREPARED_IN,prepared in,prepared in,1
PREPARED_IN_CONDITIONS_OF,prepared in conditions,prepared in conditions,1
PREVENTS_EVAPOARATION_OF,prevents evapoaration,prevents evapoaration,1
PRICED_AT,priced at,priced at,5
PRICKED_OUT_IN,pricked out in,pricked out in,1
PROCESSES_MANURE_IN,processes manure in,processes manure in,1
PRODUCES,produces,produces,3
PRODUCES_HEAD_IN,produces head in,produces head in,2
PRODUCES_IN_TOTAL,produces in total,produces in total,1
PRODUCES_SEEDS,produces seeds,produces seeds,1
PRODUCES_SEEDS_WITH_SIMILAR_CHARACTERISTICS,produces seeds with similar characteristics,produces seeds with similar characteristics,2
PRODUCE_LARGE_ROOTS_IN_THE_WINTER,produce large roots in winter,produce large roots in winter,1
PROMOTES,promotes,promotes,1
PRONE_TO,prone to,prone to,2
PRONE_TO_DEGENERATION,prone to degeneration,prone to degeneration,1
PRONE_TO_PESTS,prone to pests,prone to pests,1
PROPAGATED_BY,propagated by,propagated by,1
PROPAGATED_BY_BURSTING,propagated by bursting,propagated by bursting,1
PROTECTED_AGAINST,protected against,protected against,1
PROTECTED_AGAINST_WEATHER,protected against weather,protected against weather,1
PROTECTED_BY,protected by,protected by,1
PROTECTED_DURING,protected during,protected during,1
PROTECTED_FROM,protected from,protected from,6
PROTECTED_FROM_AIR,protected from air,protected from air,1
PROTECTED_FROM_BURNING,protected from burning,protected from burning,1
PROTECTED_FROM_BURYING,protected from burying,protected from burying,1
PROTECTED_FROM_WEATHER_CONDITION,protected from weather condition,protected from weather condition,1
PROTECTED_WITH,protected with,protected with,2
PROTECTED_WITH_SAME_MEANS,protected with same means,protected with same means,1
PROTECTS_FROM,protects from,protects from,1
PROVIDED_WITH_WATER_FROM_MANURE,provided with water from manure,provided with water from manure,1
PRUNED_AT,pruned at,pruned at,1
PRUNED_FOR_HEALTH,pruned for health,pruned for health,1
PRUNED_TO_LENGTH,pruned to length,pruned to length,1
PRUNED_USING_METHOD,pruned using method,pruned using method,1
PRUNED_WITHIN_PERIOD,pruned within period,pruned within period,1
PRUNE_AFTER_PLANTING,prune after planting,prune after planting,1
PUBLISHED_AT,published at,published at,1
PUBLISHED_BY,published by,published by,1
PULLED_OUT_AT,pulled out at,pulled out at,1
PUTTIED_WITH_FOUNTAIN_PUTTY,puttied with fountain putty,puttied with fountain putty,1
RADISH_GROWN_AND_WATERED,radish grown and watered,radish grown and watered,1
RAISED_ABOVE,raised above,raised above,1
RAISED_BY_ON_NORTH_SIDE,raised by on north side,raised by on north side,1
RAISED_ON,raised on,raised on,2
RAISED_TO_LEVEL_OF,raised to level,raised to level,1
RAISED_WITH,raised with,raised with,1
RAKED_IN,raked in,raked in,1
RARELY_MARRY_OUTSIDE_OF,rarely marry outside,rarely marry outside,1
REACHES_LENGTH_OF,reaches length,reaches length,1
READY_FOR,ready for,ready for,1
READY_FOR_CONSUMPTION_AT,ready for consumption at,ready for consumption at,1
READY_IN,ready in,ready in,1
READY_TO_BE_CUT_AT_THE_SAME_TIME_AS,ready to be cut at same time as,ready to be cut at same time as,1
READY_TO_HARVEST_IN_WEEKS,ready to harvest in weeks,ready to harvest in weeks,1
REASONING_ABOUT,reasoning about,reasoning about,1
RECEIVES_HOEING,receives hoeing,receives hoeing,1
RECEIVES_SAME_CARE_AS,receives same care as,receives same care as,1
RECIPIENT_OF,recipient,recipient,1
RECOGNIZED_BY_BROADER_LEAVES_THAN,recognized by broader leaves than,recognized by broader leaves than,1
RECOMMENDED_FOR,recommended for,recommended for,2
REDUCES_WATERING_NEEDS_OF,reduces watering needs,reduces watering needs,1
REGENERATED_AT,regenerated at,regenerated at,1
REJECTED_BY,rejected by,rejected by,1
RELATED_TO,related to,related to,13
RELATES_TO,relates to,relates to,4
RELATIONSHIP_TYPE_FRESHENED_WITH,relationship type freshened with,relationship type freshened with,1
RELIES_ON,relies on,relies on,1
RELIGIOUS_CEREMONY_ATTENDED_BY,religious ceremony attended by,religious ceremony attended by,1
RELOCATED_IN_MONTH,relocated in month,relocated in month,1
REMOVED_DURING,removed during,removed during,1
REMOVED_FROM,removed from,removed from,3
REMOVED_FROM_PATHS_OF,removed from paths,removed from paths,1
REMOVED_ON,removed on,removed on,1
REMOVED_ON_DATE,removed on date,removed on date,1
REMOVED_WITH,removed with,removed with,2
REMOVES,removes,removes,2
REMOVES_SPREAD,removes spread,removes spread,1
REMOVE_DURING_PLANTING,remove during planting,remove during planting,1
RENEWED_APPEAL,renewed appeal,renewed appeal,1
RENTED_AT,rented at,rented at,1
RENTS_AT,rents at,rents at,2
REPLACEBY_IN_SEASON,replaceby in season,replaceby in season,1
REPLACED_BY,replaced by,replaced by,3
REPLACED_WITH,replaced with,replaced with,1
REPLANTED_EVERY_FOUR_OR_FIVE_YEARS_BY_DIVIDING_ROOTS_AND_REPLANTING_IN_BEDS,replanted every four or five years by dividing roots and replanting in beds,replanted every four or five years by dividing roots and replanting in beds,1
REQUIRES,requires,requires,18
REQUIRES Thickness,requires thickness,requires thickness,1
REQUIRES_ADDITIONAL_LABOR,requires additional labor,requires additional labor,1
REQUIRES_ATMOSPHERICCONDITION,requires atmosphericcondition,requires atmosphericcondition,1
REQUIRES_BINDING,requires binding,requires binding,1
REQUIRES_CARE,requires care,requires care,1
REQUIRES_COVERING,requires covering,requires covering,1
REQUIRES_COVERING_UNTIL,requires covering until,requires covering until,1
REQUIRES_COVER_BEFORE_NIGHTFALL,requires cover before nightfall,requires cover before nightfall,1
REQUIRES_EQUIPMENT,requires equipment,requires equipment,3
REQUIRES_FREQUENT_WATERING,requires frequent watering,requires frequent watering,1
REQUIRES_INPUT,requires input,requires input,1
REQUIRES_LABOR,requires labor,requires labor,1
REQUIRES_LIGHT_MOISTURE,requires light moisture,requires light moisture,1
REQUIRES_MAINTENANCE_AT_STAGE,requires maintenance at stage,requires maintenance at stage,1
REQUIRES_MANAGEMENT_IN_MONTH,requires management in month,requires management in month,1
REQUIRES_MANAGEMENT_IN_MONTHS,requires management in months,requires management in months,1
REQUIRES_PLANTING_DATE,requires planting date,requires planting date,1
REQUIRES_PRACTICE,requires practice,requires practice,1
REQUIRES_PREVENTION_FROM,requires prevention from,requires prevention from,1
REQUIRES_PROTECTION_FROM,requires protection from,requires protection from,3
REQUIRES_PRUNING,requires pruning,requires pruning,1
REQUIRES_REGULAR_CHECKS,requires regular checks,requires regular checks,1
REQUIRES_REGULAR_REMOVAL,requires regular removal,requires regular removal,1
REQUIRES_REGULAR_VISITS,requires regular visits,requires regular visits,1
REQUIRES_REGULAR_WATERING,requires regular watering,requires regular watering,1
REQUIRES_REMOVAL_IN,requires removal in,requires removal in,1
REQUIRES_REPLACEMENT_IN,requires replacement in,requires replacement in,1
REQUIRES_SEED_QUANTITY,requires seed quantity,requires seed quantity,1
REQUIRES_SHELTERING_WITH_BEDDING_UNDER_FROST,requires sheltering with bedding under frost,requires sheltering with bedding under frost,1
REQUIRES_SHELTER_FROM,requires shelter from,requires shelter from,1
REQUIRES_SOIL_CONDITION,requires soil condition,requires soil condition,1
REQUIRES_SOIL_TYPE,requires soil type,requires soil type,1
REQUIRES_SPECIAL_STORAGE,requires special storage,requires special storage,1
REQUIRES_SPECIFIC_CONDITIONS,requires specific conditions,requires specific conditions,1
REQUIRES_SPECIFIC_TEMPERATURE,requires specific temperature,requires specific temperature,1
REQUIRES_SUNLIGHT_PENETRATION,requires sunlight penetration,requires sunlight penetration,1
REQUIRES_SUPPORT,requires support,requires support,1
REQUIRES_SUPPORT_AFTER_PLANTING,requires support after planting,requires support after planting,1
REQUIRES_TO_GROW,requires to grow,requires to grow,1
REQUIRES_WATERING,requires watering,requires watering,3
REQUIRES_WATERING_SCHEDULE,requires watering schedule,requires watering schedule,1
REQUIRE_WATERING_IN_CONDITIONS,require watering in conditions,require watering in conditions,1
RESEARCHED_BY,researched by,researched by,1
RESISTANT_TO,resistant to,resistant to,1
RESULTS_IN,results in,results in,1
